"636024";"Vermont";"DriversLicense"
"636000";"Virginia";"DriversLicense"
"636045";"Washington";"DriversLicense"
"636061";"West Virginia";"DriversLicense"
"636031";"Wisconsin";"DriversLicense"
"636060";"Wyoming";"DriversLicense"
"604429";"Yukon";"DriversLicense"
"34";"American Express";"Credit"
"37";"American Express";"Credit"
"5610";"Bankcard";"Credit"
"560221";"Bankcard";"Credit"
"560222";"Bankcard";"Credit"
"560223";"Bankcard";"Credit"
"560224";"Bankcard";"Credit"
"560225";"Bankcard";"Credit"
"62";"China UnionPay";"Credit"
"300";"Diners Club Carte Blanche";"Credit"
"301";"Diners Club Carte Blanche";"Credit"
"302";"Diners Club Carte Blanche";"Credit"
"303";"Diners Club Carte Blanche";"Credit"
"304";"Diners Club Carte Blanche";"Credit"
"305";"Diners Club Carte Blanche";"Credit"
"2014";"Diners Club enRoute";"Credit"
"2149";"Diners Club enRoute";"Credit"
"36";"Diners Club International";"Credit"
"54";"Diners Club (US & Canada)";"Credit"
"55";"Diners Club (US & Canada)";"Credit"
"6011";"Discover Card";"Credit"
"622126";"Discover Card";"Credit"
"62213";"Discover Card";"Credit"
"62214";"Discover Card";"Credit"
"62215";"Discover Card";"Credit"
"62216";"Discover Card";"Credit"
"62217";"Discover Card";"Credit"
"62218";"Discover Card";"Credit"
"62219";"Discover Card";"Credit"
"6222";"Discover Card";"Credit"
"6223";"Discover Card";"Credit"
"6224";"Discover Card";"Credit"
"6225";"Discover Card";"Credit"
"6226";"Discover Card";"Credit"
"6227";"Discover Card";"Credit"
"6228";"Discover Card";"Credit"
"62290";"Discover Card";"Credit"
"62291";"Discover Card";"Credit"
"622920";"Discover Card";"Credit"
"622921";"Discover Card";"Credit"
"622922";"Discover Card";"Credit"
"622923";"Discover Card";"Credit"
"622924";"Discover Card";"Credit"
"622925";"Discover Card";"Credit"
"644";"Discover Card";"Credit"
"645";"Discover Card";"Credit"
"646";"Discover Card";"Credit"
"647";"Discover Card";"Credit"
"648";"Discover Card";"Credit"
"649";"Discover Card";"Credit"
"65";"Discover Card";"Credit"
"637";"InstaPayment";"Debit"
"638";"InstaPayment";"Debit"
"639";"InstaPayment";"Debit"
"3528";"JCB";"Credit"
"3529";"JCB";"Credit"
"353";"JCB";"Credit"
"354";"JCB";"Credit"
"355";"JCB";"Credit"
"356";"JCB";"Credit"
"357";"JCB";"Credit"
"358";"JCB";"Credit"
"6304";"Laser";"Debit"
"6706";"Laser";"Debit"
"6771";"Laser";"Debit"
"6709";"Laser";"Debit"
"5018";"Maestro";"Debit"
"5020";"Maestro";"Debit"
"5038";"Maestro";"Debit"
"6304";"Maestro";"Debit"
"6759";"Maestro";"Debit"
"6761";"Maestro";"Debit"
"6762";"Maestro";"Debit"
"6763";"Maestro";"Debit"
"51";"MasterCard";"Credit"
"52";"MasterCard";"Credit"
"53";"MasterCard";"Credit"
"54";"MasterCard";"Credit"
"55";"MasterCard";"Credit"
"6334";"Solo";"Debit"
"6767";"Solo";"Debit"
"4903";"Switch";"Debit"
"4905";"Switch";"Debit"
"4911";"Switch";"Debit"
"4936";"Switch";"Debit"
"564182";"Switch";"Debit"
"633110";"Switch";"Debit"
"6333";"Switch";"Debit"
"6759";"Switch";"Debit"
"4";"Visa";"Credit"
"4026";"Visa Electron";"Debit"
"417500";"Visa Electron";"Debit"
"4508";"Visa Electron";"Debit"
"4844";"Visa Electron";"Debit"
"4913";"Visa Electron";"Debit"
"4917";"Visa Electron";"Debit"
